lat,lon,elevation
45.0,-76.0,253.66039415911723
45.0,-75.9795918367347,525.4391655122914
45.0,-75.95918367346938,693.6401234590205
45.0,-75.93877551020408,812.3262278429434
45.0,-75.91836734693878,801.4521444532753
45.0,-75.89795918367346,668.0230183183264
45.0,-75.87755102040816,447.33763528869804
45.0,-75.85714285714286,276.2964734933546
45.0,-75.83673469387755,240.29278694412628
45.0,-75.81632653061224,185.9186644261103
45.0,-75.79591836734694,293.34600941651985
45.0,-75.77551020408163,430.16288838366296
45.0,-75.75510204081633,553.0505487441864
45.0,-75.73469387755102,673.0173523969013
45.0,-75.71428571428571,780.3870112654062
45.0,-75.6938775510204,782.3799738464776
45.0,-75.6734693877551,798.2369549401446
45.0,-75.65306122448979,731.3581069272858
45.0,-75.63265306122449,708.9468763880232
45.0,-75.61224489795919,638.4550846129479
45.0,-75.59183673469387,585.9627422351615
45.0,-75.57142857142857,521.1892514633885
45.0,-75.55102040816327,454.02512688253336
45.0,-75.53061224489795,461.76698182574364
45.0,-75.51020408163265,480.82116712983856
45.0,-75.48979591836735,453.571009486365
45.0,-75.46938775510205,457.6504834131075
45.0,-75.44897959183673,485.71257748080035
45.0,-75.42857142857143,504.3147881309942
45.0,-75.40816326530613,584.384463764261
45.0,-75.38775510204081,657.707112903303
45.0,-75.36734693877551,675.1460050730577
45.0,-75.34693877551021,759.4268182039294
45.0,-75.3265306122449,778.691292804049
45.0,-75.3061224489796,812.1124430095315
45.0,-75.28571428571429,772.2121969692944
45.0,-75.26530612244898,666.06819755279
45.0,-75.24489795918367,534.1033582695952
45.0,-75.22448979591837,420.98129999813716
45.0,-75.20408163265306,278.4006304395276
45.0,-75.18367346938776,187.81944920095782
45.0,-75.16326530612245,235.95273357993733
45.0,-75.14285714285714,313.14030568241407
45.0,-75.12244897959184,466.3612196175162
45.0,-75.10204081632654,669.9452517504479
45.0,-75.08163265306122,792.1996175785941
45.0,-75.06122448979592,766.3871832612863
45.0,-75.04081632653062,686.4200027859742
45.0,-75.0204081632653,448.9127478719875
45.0,-75.0,278.3967087406446
45.02040816326531,-76.0,499.2407210353095
45.02040816326531,-75.9795918367347,699.2794465708713
45.02040816326531,-75.95918367346938,798.1175161254495
45.02040816326531,-75.93877551020408,787.4282370358283
45.02040816326531,-75.91836734693878,654.3117511061165
45.02040816326531,-75.89795918367346,429.6596325495116
45.02040816326531,-75.87755102040816,291.59912091599057
45.02040816326531,-75.85714285714286,227.7194561871311
45.02040816326531,-75.83673469387755,264.0486137738655
45.02040816326531,-75.81632653061224,375.5839340200549
45.02040816326531,-75.79591836734694,514.8954392321455
45.02040816326531,-75.77551020408163,641.1810966281828
45.02040816326531,-75.75510204081633,772.658037045924
45.02040816326531,-75.73469387755102,799.4259193081801
45.02040816326531,-75.71428571428571,784.4095172906926
45.02040816326531,-75.6938775510204,721.007533847739
45.02040816326531,-75.6734693877551,639.9351243322621
45.02040816326531,-75.65306122448979,490.5251522086941
45.02040816326531,-75.63265306122449,393.76631296969845
45.02040816326531,-75.61224489795919,371.2993460220862
45.02040816326531,-75.59183673469387,312.6307701287071
45.02040816326531,-75.57142857142857,292.6409173488473
45.02040816326531,-75.55102040816327,272.05904414151394
45.02040816326531,-75.53061224489795,230.9628287158388
45.02040816326531,-75.51020408163265,247.26360406228682
45.02040816326531,-75.48979591836735,227.88075700206733
45.02040816326531,-75.46938775510205,243.92777230822222
